scenarios,1
seeds per scenario,20
notes,wifin_naive_mob. 6-100-2
arg_list[0],"{'channelWidthA': 0, 'channelWidthB': 0, 'channelWidthC': 0, 'seed': 1, 'giC': 1600, 'giB': 1600, 'giA': 1600, 'constantMcs': 1, 'channelNumberA': 0, 'channelNumberB': 0, 'channelNumberC': 0, 'phyModel': 'spectrum', 'simulationTime': 15, 'nStaA': 6, 'band': 'AX_5', 'nStaC': 2, 'nStaB': 100, 'csvFileName': './scratch/testfile_2020-05-27_21:49:23.csv', 'mcs': 5, 'txPowerA': 20, 'txPowerC': 20, 'txPowerB': 20}"
arg_list[9],"{'channelWidthA': 0, 'channelWidthB': 0, 'channelWidthC': 0, 'seed': 10, 'giC': 1600, 'giB': 1600, 'giA': 1600, 'constantMcs': 1, 'channelNumberA': 0, 'channelNumberB': 0, 'channelNumberC': 0, 'phyModel': 'spectrum', 'simulationTime': 15, 'nStaA': 6, 'band': 'AX_5', 'nStaC': 2, 'nStaB': 100, 'csvFileName': './scratch/testfile_2020-05-27_21:49:23.csv', 'mcs': 5, 'txPowerA': 20, 'txPowerC': 20, 'txPowerB': 20}"
channelNumberA, channelWidthA, channelNumberB, channelWidthB, channelNumberC, channelWidthC
33,4.57057,5.89764,42,42,3.95935
47,17.2435,8.1105,59,59,3.35514
49,9.91344,2.27978,62,62,1.83647
33,10.5852,7.3214,42,42,3.96651
35,9.65851,6.7735,44,44,5.16621
50,4.99298,2.53635,63,63,1.81027
34,15.1605,6.4262,43,43,4.6418
38,19.1893,3.08267,48,48,5.68657
37,10.763,2.79269,47,47,4.29241
38,14.1481,4.44892,48,48,4.65532
38,13.8844,2.54335,48,48,4.85554
38,1.97955,7.09707,48,48,4.64981
36,0.549566,8.64742,45,45,4.59402
38,2.15036,1.14356,48,48,5.21912
38,5.61587,0.63383,48,48,4.33033
30,16.4423,1.60375,38,38,5.16342
32,12.4976,8.55412,40,40,4.16839
46,7.31021,8.16742,58,58,1.69035
47,10.9109,8.5961,59,59,2.75969
39,18.5395,9.28573,49,49,3.47559
47,3.38245,0.0119559,59,59,2.71369
50,15.9838,3.82562,63,63,2.3588
37,9.45561,4.91494,47,47,4.25268
42,0.665632,1.29466,53,53,3.40445
35,17.1942,8.22893,44,44,6.01055
37,15.6287,4.75198,47,47,4.91354
49,19.8906,9.62996,62,62,1.89415
40,6.37392,6.90759,50,50,5.16849
45,16.4674,3.09422,57,57,3.35096
31,9.8698,8.42075,39,39,3.75538
34,4.5891,0.526745,43,43,3.84152
46,2.95857,3.51452,58,58,2.39282
35,17.4938,8.5086,44,44,5.00254
43,17.5636,9.08142,54,54,3.35592
48,16.6161,2.52766,61,61,2.96235
48,14.0699,6.51108,61,61,3.24564
32,12.9327,8.38641,40,40,4.97097
39,5.9644,9.16851,49,49,2.54949
42,4.62181,5.29133,53,53,4.03718
41,2.92624,9.90875,52,52,3.36396
40,17.7709,2.20656,50,50,4.28033
42,9.002,0.83827,53,53,4.31518
32,7.83558,5.07953,40,40,5.03189
36,17.4623,3.71778,45,45,4.10792
34,19.7838,6.65256,43,43,4.46761
43,18.6476,0.792485,54,54,3.80998
42,17.0191,5.76238,53,53,4.55104
44,1.4134,0.306781,56,56,3.00891
34,4.73904,6.63862,43,43,4.41685
37,2.27507,7.79498,47,47,4.57158
47,1.51322,1.82018,59,59,2.88325
42,1.59446,5.94128,53,53,4.47163
47,10.71,7.10463,59,59,2.75937
34,18.5169,4.17273,43,43,4.25231
37,2.32883,9.74058,47,47,4.40031
31,14.7576,4.4874,39,39,3.49017
43,14.1693,9.16368,54,54,3.6799
43,11.3023,7.11208,54,54,3.76483
36,5.54593,9.95896,45855,45829,1.61977
36,18.784,3.24614,45855,45847,1.59198
channelNumberA, channelWidthA, channelNumberB, channelWidthB, channelNumberC, channelWidthC
50,160,100,20,159,40
81,18.5291,3.03656,103176,101391,245.492
80,14.1201,6.03393,101902,15418,353.187
90,12.8782,0.844496,114640,24523,329.359
99,8.403,4.67184,126104,123437,427.321
97,3.53968,5.55427,123556,120596,517.414
80,14.2846,5.1427,101902,100608,230.702
33,4.7319,2.35239,42,42,4.78381
43,19.0683,6.49892,54,54,3.0854
31,15.9815,0.154364,39,39,3.95731
31,0.605989,2.83783,39,39,4.76728
34,18.8953,2.46028,43,43,3.09071
42,18.4048,5.2717,53,53,3.843
33,14.6172,1.19618,42,42,4.38481
32,8.79296,6.42452,40,40,4.75748
37,9.06214,5.58204,47,47,4.04481
42,1.77935,8.60757,53,53,4.61185
31,7.02191,3.17483,39,39,3.37189
32,11.6599,9.23521,40,40,4.12189
35,14.8986,9.05629,44,44,4.78263
35,0.391275,0.741262,44,44,4.63494
38,11.6339,0.492243,48,48,2.85448
30,13.4571,3.32021,38,38,6.7156
34,5.21267,8.87105,43,43,3.43738
49,5.01094,0.257464,62,62,2.91565
30,6.68808,9.63358,38,38,7.59215
48,3.37702,8.94758,61,61,3.47515
45,0.991176,5.34618,57,57,4.87986
31,16.775,4.442,39,39,4.21667
49,12.5219,3.23788,62,62,3.28121
41,5.96574,6.61162,52,52,2.52005
32,9.06634,9.05632,40,40,5.30419
30,10.0626,1.90443,38,38,6.44168
36,12.191,6.36486,45,45,4.56706
34,8.80843,6.14629,43,43,4.39418
40,9.481,3.29834,50,50,4.55251
37,13.3009,4.34926,47,47,4.32383
42,4.91182,3.89647,53,53,4.4399
33,8.5481,2.52419,42,42,4.50269
48,0.181875,0.145649,61,61,3.99448
33,14.8106,5.00625,42,42,4.32826
41,6.55003,0.186162,52,52,2.83101
48,11.1134,1.13988,61,61,3.58167
50,18.2574,5.64406,63,63,2.35647
37,1.93618,2.19475,47,47,3.62729
34,18.5131,0.484668,43,43,3.89537
37,9.52743,2.40116,47,47,3.44159
35,11.6449,2.58062,44,44,4.90784
41,2.23574,0.756097,52,52,2.85756
45,5.71321,7.372,57,57,4.32644
