scenarios,1
seeds per scenario,20
notes,wifin_alg_simple. 2-100-6
arg_list[0],"{'channelWidthA': 80, 'mcsA': 5, 'channelWidthC': 40, 'simulationTime': 15, 'channelNumberB': 100, 'txPowerA': 20, 'channelWidthB': 20, 'txPowerC': 20, 'txPowerB': 3, 'constantMcs': 1, 'band': 'AX_5', 'seed': 1, 'csvFileName': './scratch/testfile_2020-05-23_10:32:47.csv', 'channelNumberA': 42, 'giA': 800, 'channelNumberC': 159, 'phyModel': 'spectrum', 'giC': 800, 'mcsC': 5, 'mcsB': 1, 'giB': 1600}"
arg_list[9],"{'channelWidthA': 80, 'mcsA': 5, 'channelWidthC': 40, 'simulationTime': 15, 'channelNumberB': 100, 'txPowerA': 20, 'channelWidthB': 20, 'txPowerC': 20, 'txPowerB': 3, 'constantMcs': 1, 'band': 'AX_5', 'seed': 10, 'csvFileName': './scratch/testfile_2020-05-23_10:32:47.csv', 'channelNumberA': 42, 'giA': 800, 'channelNumberC': 159, 'phyModel': 'spectrum', 'giC': 800, 'mcsC': 5, 'mcsB': 1, 'giB': 1600}"
init_channelNumber, channelWidth, gi, mcs, txPower
42,80,800,6,20
100,20,1600,1,2
155,80,800,6,20
channelNumber, channelWidth, gi, mcs, txPower
47,2.57566,4.1689,15,12,11.9204
41,1.68068,2.93441,13,12,15.8917
38,16.708,5.11087,12,12,12.2775
30,2.85695,9.02856,10,10,23.354
39,8.94646,6.47048,13,13,17.5164
49,7.81375,3.29978,16,16,8.30755
43,7.19636,6.03087,14,13,12.6553
43,8.12122,4.5676,14,13,9.62195
35,7.77911,6.4921,11,8,22.4298
32,7.68104,3.05435,10,10,18.3419
47,18.9235,6.23924,15,12,15.2703
43,5.75861,3.28492,14,12,13.0214
47,17.8125,3.11645,15,12,13.3405
39,12.3559,1.72151,13,12,17.0216
44,13.4044,6.63499,14,13,13.2638
42,2.33199,7.84704,14,14,17.7982
43,14.9798,9.81128,14,13,11.4362
50,16.0783,8.14825,16,16,8.88293
46,10.3269,6.09847,15,13,7.74881
42,18.6914,0.664084,14,13,19.2474
49,17.0426,1.77422,16,16,8.66137
42,5.00221,2.0515,14,13,18.1063
33,17.3377,3.92676,11,10,16.1636
49,16.6755,1.78956,16,16,9.85661
30,0.198256,7.06927,10,10,22.5019
42,3.35502,6.88841,14,13,14.6414
31,2.50437,6.64761,10,9,21.759
39,1.19319,3.32234,13,12,17.1192
32,1.81331,7.81129,10,9,19.5502
48,2.01261,2.38093,16,16,8.95589
36,2.43821,5.27299,12,12,19.0525
47,13.7617,5.22926,15,12,10.6904
42,1.89628,8.65967,14,13,16.1892
47,18.6602,4.86988,15,0,-nan
44,8.98245,8.7793,14,14,11.7084
46,1.7097,0.504838,15,12,13.0138
50,4.03646,8.02916,16,16,8.36267
44,18.9621,7.00127,14,13,13.2741
39,17.31,8.03726,13,12,17.5981
31,14.2227,8.22798,10,9,19.3101
35,7.6515,7.12884,11,8,20.6784
49,16.3872,0.438982,16,16,6.98392
41,3.7027,0.0969336,13,12,12.1464
50,1.90557,6.48025,16,15,7.34609
45,18.329,4.51612,15,14,13.8366
41,12.4472,0.151219,13,12,14.9576
36,1.14264,1.47442,12,12,19.829
50,4.31088,9.52766,16,15,9.20873
36,12.4784,0.569984,12,12,19.3269
47,2.64638,9.33036,15,12,12.4393
42,2.41468,1.69341,14,14,17.292
32,11.2483,0.634101,10,10,18.2729
37,8.7902,1.60658,12,12,11.3755
47,14.7974,5.77067,15,12,11.8104
36,7.69083,3.19819,12,12,16.4017
47,13.5371,6.11227,15,12,13.319
42,13.4711,3.13588,14,13,17.7575
30,5.49494,1.77428,10,10,23.1207
46,15.1374,4.66188,15,12,11.3367
44,15.5376,7.78593,14,13,13.6089
50,6.40405,2.65847,16,16,8.25379
42,14.1106,2.90097,14,13,18.5407
39,13.1245,4.63856,13,12,14.1456
50,6.82763,2.04188,16,15,9.57116
42,12.7278,9.64904,14,14,19.295
48,14.6349,9.82146,16,16,11.2535
47,10.8456,5.003,15,12,10.0729
42,8.99602,0.956404,14,14,17.093
50,2.3639,8.72878,16,15,8.01639
32,5.16643,0.323704,10,9,17.3565
44,14.2986,4.55723,14,13,13.283
30,13.9072,1.18799,10,10,23.8662
31,9.97266,4.9075,10,9,16.5747
34,16.5935,9.22691,11,9,15.041
36,19.1169,0.773594,12,12,18.7612
33,2.46748,7.10519,11,10,18.4382
45,6.14728,5.13171,15,14,10.523
39,5.73972,5.87867,13,12,15.9675
35,9.37353,2.12715,11,8,19.7298
37,4.39095,4.77037,12,12,12.6595
33,9.15407,3.13193,11,11,14.2038
48,8.51746,4.1278,16,16,8.68173
32,13.2332,9.59664,10,10,16.7921
33,16.4911,4.79217,11,11,19.1846
30,1.15548,1.32285,10,10,26.3471
36,15.7316,4.97719,12,12,19.0105
41,9.44277,3.05164,13,12,13.5077
33,7.25058,5.20961,11,11,17.5634
38,16.9589,6.2699,12,12,12.7619
44,14.3656,5.92948,14,13,14.5875
36,4.94599,4.16314,12,12,18.2918
31,4.66198,7.69816,10,10,17.3572
50,4.25478,8.94061,16,15,11.448
48,15.3534,5.07671,16,16,11.6044
50,11.1848,9.15968,16,15,12.145
46,10.5688,9.44877,15,12,12.6773
31,10.3783,2.95506,10,9,17.8379
40,15.3986,6.48535,13,12,16.7547
33,17.6775,4.27616,11,11,20.0271
43,4.62925,6.0432,14,13,10.8333
39,5.58221,2.43517,13247,13067,4.21954
34,13.6894,6.12185,11548,11327,24.4069
37,18.5423,7.29093,12567,12348,8.75502
21,17.8256,1.77806,7133,7013,8.7694
21,1.38654,7.48977,7133,6809,12.001
28,14.696,8.31155,9510,9043,31.3814
channelNumber, channelWidth, gi, mcs, txPower
42,80,800,6,20
100,20,1600,1,5
155,80,800,6,20
97,19.7058,6.60734,41185,40952,1.6893
92,6.82402,7.20681,39062,38680,1.8865
47,2.57566,4.1689,19,15,11.3299
41,1.68068,2.93441,17,15,13.3578
38,16.708,5.11087,16,15,10.1964
30,2.85695,9.02856,12,12,21.7029
39,8.94646,6.47048,16,16,15.3694
49,7.81375,3.29978,20,20,7.55755
43,7.19636,6.03087,18,17,10.8809
43,8.12122,4.5676,18,17,8.14129
35,7.77911,6.4921,14,10,20.4694
32,7.68104,3.05435,13,12,15.9141
47,18.9235,6.23924,19,15,15.0178
43,5.75861,3.28492,18,16,11.0688
47,17.8125,3.11645,19,15,13.5637
39,12.3559,1.72151,16,15,14.344
44,13.4044,6.63499,18,16,11.7752
42,2.33199,7.84704,17,17,16.0988
43,14.9798,9.81128,18,17,10.208
50,16.0783,8.14825,21,20,9.60833
46,10.3269,6.09847,19,17,7.14856
42,18.6914,0.664084,17,16,17.7628
49,17.0426,1.77422,20,19,7.97718
42,5.00221,2.0515,17,16,15.4458
33,17.3377,3.92676,14,12,15.1135
49,16.6755,1.78956,20,19,8.71673
30,0.198256,7.06927,12,12,20.7275
42,3.35502,6.88841,17,16,13.7418
31,2.50437,6.64761,13,12,17.7757
39,1.19319,3.32234,16,15,15.0505
32,1.81331,7.81129,13,11,17.3773
48,2.01261,2.38093,20,20,8.23889
36,2.43821,5.27299,15,15,16.6655
47,13.7617,5.22926,19,15,9.97233
42,1.89628,8.65967,17,16,14.3932
47,18.6602,4.86988,19,3,10.4221
44,8.98245,8.7793,18,17,10.3645
46,1.7097,0.504838,19,15,11.4608
50,4.03646,8.02916,21,20,7.68301
44,18.9621,7.00127,18,16,12.5186
39,17.31,8.03726,16,15,14.4183
31,14.2227,8.22798,13,12,15.1716
35,7.6515,7.12884,14,10,18.1673
49,16.3872,0.438982,20,19,6.88406
41,3.7027,0.0969336,17,15,10.9395
50,1.90557,6.48025,21,19,7.01398
45,18.329,4.51612,19,18,12.0657
41,12.4472,0.151219,17,15,12.8785
36,1.14264,1.47442,15,15,16.8037
50,4.31088,9.52766,21,19,9.18557
36,12.4784,0.569984,15,15,17.5071
47,2.64638,9.33036,19,15,11.4546
42,2.41468,1.69341,17,17,16.4667
32,11.2483,0.634101,13,12,16.496
37,8.7902,1.60658,15,15,9.8336
47,14.7974,5.77067,19,15,11.6529
36,7.69083,3.19819,15,15,14.3539
47,13.5371,6.11227,19,15,13.6755
42,13.4711,3.13588,17,16,15.6489
30,5.49494,1.77428,12,12,21.7353
46,15.1374,4.66188,19,16,9.59024
44,15.5376,7.78593,18,16,13.0596
50,6.40405,2.65847,21,20,7.88898
42,14.1106,2.90097,17,16,16.8032
39,13.1245,4.63856,16,15,12.0093
50,6.82763,2.04188,21,19,9.59447
42,12.7278,9.64904,17,17,16.9403
48,14.6349,9.82146,20,20,9.94882
47,10.8456,5.003,19,15,9.57472
42,8.99602,0.956404,17,17,14.7802
50,2.3639,8.72878,21,19,6.97553
32,5.16643,0.323704,13,11,15.8315
44,14.2986,4.55723,18,16,12.4675
30,13.9072,1.18799,12,12,20.9856
31,9.97266,4.9075,13,12,12.9855
34,16.5935,9.22691,14,12,12.1594
36,19.1169,0.773594,15,15,16.8445
33,2.46748,7.10519,14,12,17.188
45,6.14728,5.13171,19,18,9.71776
39,5.73972,5.87867,16,15,13.9755
35,9.37353,2.12715,14,10,17.8758
37,4.39095,4.77037,15,15,10.5417
33,9.15407,3.13193,14,14,11.8604
48,8.51746,4.1278,20,20,8.27376
32,13.2332,9.59664,13,12,15.0552
33,16.4911,4.79217,14,14,16.4
30,1.15548,1.32285,12,12,24.3774
36,15.7316,4.97719,15,15,16.011
41,9.44277,3.05164,17,15,11.5751
33,7.25058,5.20961,14,14,15.2958
38,16.9589,6.2699,16,15,11.0565
44,14.3656,5.92948,18,16,13.0069
36,4.94599,4.16314,15,15,16.3465
31,4.66198,7.69816,13,13,14.6476
50,4.25478,8.94061,21,19,10.062
48,15.3534,5.07671,20,20,10.4854
50,11.1848,9.15968,21,19,10.9348
46,10.5688,9.44877,19,16,10.9465
31,10.3783,2.95506,13,12,14.8888
40,15.3986,6.48535,16,15,14.6948
33,17.6775,4.27616,14,13,18.3235
43,4.62925,6.0432,18,17,9.57221
