scenarios,1
seeds per scenario,20
notes,wifin_alg. 4-100-4
arg_list[0],"{'channelWidthA': 80, 'mcsA': 5, 'channelWidthC': 40, 'simulationTime': 15, 'channelNumberB': 100, 'txPowerA': 20, 'channelWidthB': 20, 'txPowerC': 20, 'txPowerB': 3, 'constantMcs': 1, 'band': 'AX_5', 'seed': 1, 'csvFileName': './scratch/testfile_2020-05-23_19:30:40.csv', 'channelNumberA': 42, 'giA': 800, 'channelNumberC': 159, 'phyModel': 'spectrum', 'giC': 800, 'mcsC': 5, 'mcsB': 1, 'giB': 1600}"
arg_list[9],"{'channelWidthA': 80, 'mcsA': 5, 'channelWidthC': 40, 'simulationTime': 15, 'channelNumberB': 100, 'txPowerA': 20, 'channelWidthB': 20, 'txPowerC': 20, 'txPowerB': 3, 'constantMcs': 1, 'band': 'AX_5', 'seed': 10, 'csvFileName': './scratch/testfile_2020-05-23_19:30:40.csv', 'channelNumberA': 42, 'giA': 800, 'channelNumberC': 159, 'phyModel': 'spectrum', 'giC': 800, 'mcsC': 5, 'mcsB': 1, 'giB': 1600}"
init_channelNumber, channelWidth, gi, mcs, txPower
50,160,800,6,20
100,20,1600,1,2
159,40,800,7,20
channelNumber, channelWidth, gi, mcs, txPower
channelNumber, channelWidth, gi, mcs, txPower
50,160,800,6,20
100,20,1600,1,5
159,40,800,7,20
97,19.7058,6.60734,41185,40548,8.2191
92,6.82402,7.20681,39062,38165,4.93809
90,2.57566,4.1689,38213,37628,5.20927
88,1.68068,2.93441,37364,36732,5.69322
47,16.708,5.11087,19,15,10.1103
41,2.85695,9.02856,17,15,11.7003
38,8.94646,6.47048,16,16,10.8915
30,7.81375,3.29978,12,12,19.018
39,7.19636,6.03087,16,15,11.8332
49,8.12122,4.5676,20,20,7.05971
43,7.77911,6.4921,18,17,10.4621
43,7.68104,3.05435,18,17,10.7647
35,18.9235,6.23924,14,10,20.6157
32,5.75861,3.28492,13,12,15.7543
47,17.8125,3.11645,19,15,15.5042
43,12.3559,1.72151,18,17,9.75767
47,13.4044,6.63499,19,16,11.3309
39,2.33199,7.84704,16,15,17.1008
44,14.9798,9.81128,18,17,14.2192
42,16.0783,8.14825,17,16,16.938
43,10.3269,6.09847,18,17,9.16297
50,18.6914,0.664084,21,19,8.6858
46,17.0426,1.77422,19,15,9.33327
42,5.00221,2.0515,17,17,15.8821
49,17.3377,3.92676,20,19,9.30804
42,16.6755,1.78956,17,16,17.7423
33,0.198256,7.06927,14,13,14.051
49,3.35502,6.88841,20,19,6.75969
30,2.50437,6.64761,12,12,20.5376
42,1.19319,3.32234,17,17,14.6236
31,1.81331,7.81129,13,12,14.9068
39,2.01261,2.38093,16,15,14.319
32,2.43821,5.27299,13,12,15.3176
48,13.7617,5.22926,20,20,8.67006
36,1.89628,8.65967,15,15,15.2281
47,18.6602,4.86988,19,15,12.5964
42,8.98245,8.7793,17,17,13.3979
47,1.7097,0.504838,19,15,12.2024
44,4.03646,8.02916,18,16,12.0696
46,18.9621,7.00127,19,15,10.6036
50,17.31,8.03726,21,19,9.1158
44,14.2227,8.22798,18,16,10.6049
39,7.6515,7.12884,16,15,12.834
31,16.3872,0.438982,13,12,13.6322
35,3.7027,0.0969336,14,10,21.7404
49,1.90557,6.48025,20,20,7.25709
41,18.329,4.51612,17,15,12.3354
50,12.4472,0.151219,21,19,9.35388
45,1.14264,1.47442,19,19,10.3926
41,4.31088,9.52766,17,15,12.3122
36,12.4784,0.569984,15,15,16.7828
50,2.64638,9.33036,21,19,9.14293
36,2.41468,1.69341,15,15,17.4261
47,11.2483,0.634101,19,15,13.3002
