scenarios,1
seeds per scenario,20
notes,wifin_naive. 2-100-6
arg_list[0],"{'channelWidthA': 0, 'channelWidthB': 0, 'channelWidthC': 0, 'seed': 1, 'giC': 1600, 'giB': 1600, 'giA': 1600, 'constantMcs': 1, 'channelNumberA': 0, 'channelNumberB': 0, 'channelNumberC': 0, 'phyModel': 'spectrum', 'simulationTime': 15, 'nStaA': 2, 'band': 'AX_5', 'nStaC': 6, 'nStaB': 100, 'csvFileName': './scratch/testfile_2020-04-17_16:07:20.csv', 'mcs': 5, 'txPowerA': 20, 'txPowerC': 20, 'txPowerB': 20}"
arg_list[9],"{'channelWidthA': 0, 'channelWidthB': 0, 'channelWidthC': 0, 'seed': 10, 'giC': 1600, 'giB': 1600, 'giA': 1600, 'constantMcs': 1, 'channelNumberA': 0, 'channelNumberB': 0, 'channelNumberC': 0, 'phyModel': 'spectrum', 'simulationTime': 15, 'nStaA': 2, 'band': 'AX_5', 'nStaC': 6, 'nStaB': 100, 'csvFileName': './scratch/testfile_2020-04-17_16:07:20.csv', 'mcs': 5, 'txPowerA': 20, 'txPowerC': 20, 'txPowerB': 20}"
channelNumberA, channelWidthA, channelNumberB, channelWidthB, channelNumberC, channelWidthC
37,5.41212,3.98559,47,47,4.46915
32,6.61282,3.35768,40,40,4.37102
48,19.2119,7.97536,61,61,3.48965
47,2.33182,8.70284,59,59,3.15879
38,19.3732,3.91556,48,48,4.06488
50,0.482683,6.12559,63,63,3.67995
45,18.1832,8.94706,57,57,6.13172
44,3.90458,9.46427,56,56,3.1303
39,12.5368,5.00901,49,49,4.38372
45,6.98785,2.86921,57,57,4.82319
49,7.09171,6.18622,62,62,3.4996
37,15.4992,0.971008,47,47,3.89044
31,2.89565,3.67169,39,39,3.51271
31,1.72154,3.56398,39,39,3.56119
33,9.91798,4.72246,42,42,3.57461
42,9.78044,7.68073,53,53,4.34727
49,17.3505,2.32068,62,62,3.57809
40,7.40233,1.31556,50,50,5.50824
33,18.4418,5.39503,42,42,4.18046
38,17.219,7.63591,48,48,4.35611
47,8.12038,6.38145,59,59,2.87754
31,13.1726,4.3111,39,39,3.95454
39,7.46209,9.39579,49,49,3.62072
43,5.55239,2.38333,54,54,2.70762
38,19.6995,8.78982,48,48,3.80732
39,9.47327,4.3764,49,49,3.41172
31,3.46633,3.96854,39,39,3.81015
50,7.19473,4.93156,63,63,3.31924
43,8.3282,9.15492,54,54,3.07088
39,1.75153,5.62872,49,49,4.50877
34,10.8768,8.80964,43,43,3.4946
30,3.09669,7.78835,38,38,5.4446
49,14.8379,2.48942,62,62,3.43923
35,13.9857,3.09438,44,44,4.56812
48,12.7643,6.82177,61,61,4.91237
44,6.06005,5.23007,56,56,3.42362
48,13.5543,7.47899,61,61,4.93309
38,11.7063,8.34621,48,48,3.65399
35,11.1349,8.86512,44,44,3.69122
41,6.19582,9.45599,52,52,3.39474
40,13.0325,2.82847,50,50,5.22229
50,13.8876,8.12954,63,63,3.23504
37,16.7466,7.30546,47129,47106,17.4616
22,1.06827,8.36555,28023,28000,15.2953
30,15.627,1.87275,38213,38208,38.9523
25,13.4768,5.33407,31844,31810,2.97095
24,4.1594,2.46925,30570,30528,21.6367
24,4.088,4.93464,30570,30510,14.678
channelNumberA, channelWidthA, channelNumberB, channelWidthB, channelNumberC, channelWidthC
42,80,100,20,155,80
85,18.8233,6.42927,108271,108189,2.03818
88,7.29606,8.82712,112092,112047,2.0561
37,10.3025,6.6756,47,47,4.28759
32,6.72242,1.73748,40,40,4.87283
43,6.83177,0.443461,54,54,2.89723
31,11.4276,6.11419,39,39,3.2485
45,15.7855,5.88191,57,57,2.91881
44,11.2547,3.19913,56,56,2.8917
41,8.78524,4.12349,52,52,2.18408
40,12.4848,8.27029,50,50,3.77174
31,11.1162,5.96823,39,39,3.52127
40,10.7238,2.21735,50,50,4.81744
35,15.6938,4.95694,44,44,5.54436
40,3.03445,3.13961,50,50,5.02378
38,11.2497,2.46564,48,48,5.08717
47,9.42348,6.88606,59,59,2.75688
45,13.6176,6.53985,57,57,3.63926
38,9.32797,1.38816,48,48,4.86496
41,19.9189,9.24501,52,52,2.65219
49,4.31302,2.59301,62,62,2.38612
34,1.3071,4.39383,43,43,3.84659
36,14.7656,2.65618,45,45,5.07068
46,8.17018,7.09683,58,58,1.90223
39,0.00873,8.20596,49,49,2.92697
45,9.35048,5.70687,57,57,3.46743
43,6.70163,7.15807,54,54,3.96611
31,0.79292,8.27696,39,39,3.77739
38,13.42,7.55364,48,48,5.47323
35,10.0175,6.59027,44,44,4.52688
46,4.77255,3.28929,58,58,2.50602
38,7.25314,1.24509,48,48,4.68993
40,8.0501,9.52356,50,50,4.84583
35,9.75274,1.09187,44,44,4.6331
37,15.0467,0.917032,47,47,4.07912
36,7.58482,4.63867,45,45,4.59157
37,14.6408,9.47943,47,47,3.65124
47,15.9295,5.11722,59,59,2.26605
32,6.8385,2.01935,40,40,4.6828
50,16.1455,2.11654,63,63,1.66518
44,15.8485,8.00503,56,56,2.65001
45,9.24,2.14895,57,57,3.35277
35,16.8908,2.91191,44,44,5.16901
30,10.6059,8.51522,38,38,5.22037
43,5.54895,1.75577,54,54,3.22066
33,14.8105,0.387734,42,42,3.00282
47,7.62197,5.9209,59,59,3.15177
49,13.3159,8.0645,62,62,2.07225
33,9.78864,0.604877,42,42,3.5831
35,4.57057,5.89764,44,44,4.31963
50,17.2435,8.1105,63,63,2.02008
34,9.91344,2.27978,43,43,4.52271
38,10.5852,7.3214,48,48,4.57914
37,9.65851,6.7735,47,47,3.71003
38,4.99298,2.53635,48,48,5.03264
38,15.1605,6.4262,48,48,4.97733
38,19.1893,3.08267,48,48,5.4182
36,10.763,2.79269,45,45,3.64007
38,14.1481,4.44892,48,48,4.76706
38,13.8844,2.54335,48,48,4.40789
30,1.97955,7.09707,38,38,5.34168
32,0.549566,8.64742,40,40,4.79901
46,2.15036,1.14356,58,58,2.43633
47,5.61587,0.63383,59,59,2.52545
39,16.4423,1.60375,49,49,3.8574
47,12.4976,8.55412,59,59,2.67694
50,7.31021,8.16742,63,63,0.9549
37,10.9109,8.5961,47,47,3.95705
42,18.5395,9.28573,53,53,3.78979
35,3.38245,0.0119559,44,44,4.96193
37,15.9838,3.82562,47,47,4.86143
49,9.45561,4.91494,62,62,1.49001
40,0.665632,1.29466,50,0,-nan
45,17.1942,8.22893,57,57,4.21757
31,15.6287,4.75198,39,39,3.82917
34,19.8906,9.62996,43,43,4.79686
46,6.37392,6.90759,58,58,1.97866
35,16.4674,3.09422,44,44,5.67205
43,9.8698,8.42075,54,54,2.98526
48,4.5891,0.526745,61,61,2.06544
48,2.95857,3.51452,61,61,3.37147
32,17.4938,8.5086,40,40,5.20831
39,17.5636,9.08142,49,49,2.9169
42,16.6161,2.52766,53,53,4.02424
41,14.0699,6.51108,52,52,3.27706
40,12.9327,8.38641,50,50,5.14645
42,5.9644,9.16851,53,53,4.34436
32,4.62181,5.29133,40,40,4.91416
36,2.92624,9.90875,45,45,4.54737
34,17.7709,2.20656,43,43,4.71468
43,9.002,0.83827,54,54,3.30628
42,7.83558,5.07953,53,53,3.52471
44,17.4623,3.71778,56,56,2.72939
34,19.7838,6.65256,43,43,4.34026
37,18.6476,0.792485,47,47,3.76503
47,17.0191,5.76238,59,59,2.70946
42,1.4134,0.306781,53,53,3.96004
47,4.73904,6.63862,59,59,3.41421
34,2.27507,7.79498,43,43,4.38324
37,1.51322,1.82018,47,47,4.61135
31,1.59446,5.94128,39,39,4.08594
43,10.71,7.10463,54,54,3.55359
43,18.5169,4.17273,54,54,3.10138
36,2.32883,9.74058,45855,45786,20.43
36,14.7576,4.4874,45855,45843,19.0452
27,14.1693,9.16368,34391,34373,18.5773
27,11.3023,7.11208,34391,34359,9.68806
26,5.54593,9.95896,33118,33100,26.338
33,18.784,3.24614,42034,41949,18.7435
channelNumberA, channelWidthA, channelNumberB, channelWidthB, channelNumberC, channelWidthC
42,80,100,20,155,80
81,18.5291,3.03656,103176,103151,1.7665
80,14.1201,6.03393,101902,101878,1.75878
33,12.8782,0.844496,42,42,3.53425
43,8.403,4.67184,54,54,3.06108
31,3.53968,5.55427,39,39,3.95915
31,14.2846,5.1427,39,39,3.27781
34,4.7319,2.35239,43,43,2.88868
42,19.0683,6.49892,53,53,4.33086
33,15.9815,0.154364,42,42,3.72024
32,0.605989,2.83783,40,40,3.83203
37,18.8953,2.46028,47,47,3.00306
42,18.4048,5.2717,53,53,4.61003
31,14.6172,1.19618,39,39,3.71519
32,8.79296,6.42452,40,40,2.85771
35,9.06214,5.58204,44,44,3.83467
35,1.77935,8.60757,44,44,4.97867
38,7.02191,3.17483,48,48,3.08209
30,11.6599,9.23521,38,38,5.80265
34,14.8986,9.05629,43,43,3.35323
49,0.391275,0.741262,62,62,3.33806
30,11.6339,0.492243,38,38,7.19898
48,13.4571,3.32021,61,61,3.1647
45,5.21267,8.87105,57,57,4.55279
31,5.01094,0.257464,39,39,4.13018
49,6.68808,9.63358,62,62,2.92801
41,3.37702,8.94758,52,52,2.80549
32,0.991176,5.34618,40,40,4.79686
30,16.775,4.442,38,38,6.88209
36,12.5219,3.23788,45,45,4.66259
34,5.96574,6.61162,43,43,3.6933
40,9.06634,9.05632,50,50,5.90012
37,10.0626,1.90443,47,47,4.06545
42,12.191,6.36486,53,53,4.19961
33,8.80843,6.14629,42,42,3.60375
48,9.481,3.29834,61,61,3.75887
33,13.3009,4.34926,42,42,3.90149
41,4.91182,3.89647,52,52,2.35325
48,8.5481,2.52419,61,61,3.20238
50,0.181875,0.145649,63,63,2.1334
37,14.8106,5.00625,47,47,3.34864
34,6.55003,0.186162,43,43,4.38166
37,11.1134,1.13988,47,47,3.69966
35,18.2574,5.64406,44,44,5.59365
41,1.93618,2.19475,52,52,2.39973
45,18.5131,0.484668,57,57,4.20459
46,9.52743,2.40116,58,58,1.89262
43,11.6449,2.58062,54,54,2.84904
45,2.23574,0.756097,57,57,4.59789
42,5.71321,7.372,53,53,3.82516
50,1.55429,7.63811,63,63,2.28123
40,2.39175,2.84971,50,50,5.02434
35,13.2315,6.65176,44,44,5.2783
49,12.0731,8.46686,62,62,3.38409
40,16.2412,3.17045,50,50,4.61097
45,3.9507,8.03278,57,57,4.60422
34,13.9865,8.85333,43,43,3.54859
43,18.4537,5.99083,54,54,3.07401
